Region,District,City,Address,Polling station number,Polling station code,Total number of voters,Number of voters who received a ballot,Number of voters who took part in the vote,Number of voters who took part in early voting,Number of voters who took part in the vote at the place of residence,Number of voters who took part in the vote on election day,Dmitriev,Konopackaya,Lukashenko,Tsikhanouskaya,Cherechen,Against all,Number of ballots declared invalid,Number of ballots received by the precinct commission,Number of spoiled ballots,Number of unused ballots
Брестская,Брест - Ленинский,Брест,"ул. Гоголя, 7, УО «Брестский государственный музыкальный колледж имени Г. Ширмы»",1,01-010-0001,1656,1329,1319,252,4,1063,21,16,464,701,16,96,5,1660,1,330
Брестская,Брест - Ленинский,Брест,"ул. Героев обороны Брестской крепости, 78, УО «Брестский государственный торгово-технологический колледж»",2,01-010-0002,2646,2249,2249,707,37,1505,43,25,994,948,32,194,13,2670,0,421
Брестская,Брест - Ленинский,Брест,"ул. Пригородная, 25, УО «Брестское государственное областное училище олимпийского резерва»",4,01-010-0004,1805,1717,1714,537,42,1135,32,26,1125,395,24,97,15,1880,0,163
Брестская,Брест - Ленинский,Брест,"ул. Смирнова, 21, общежитие ОАО «Брестский мясокомбинат»",5,01-010-0005,2270,2122,2122,863,23,1236,42,21,1506,412,50,91,,,,
Брестская,Брест - Ленинский,Брест,"ул. Смирнова, 63, ГУО «Средняя школа № 5 г. Бреста»",6,01-010-0006,2746,2383,2383,507,20,1856,53,28,923,1157,48,174,,,,
Брестская,Брест - Ленинский,Брест,"ул. Адамковская, 58/1, ГУО «Средняя школа № 27 г. Бреста»",7,01-010-0007,2319,1829,1829,249,56,1524,43,19,567,1010,44,146,,,,
Брестская,Брест - Ленинский,Брест,"ул. Бауманская, 40, УП «Брествторчермет»",8,01-010-0008,1955,1772,1772,297,56,1419,34,34,803,782,41,78,,,,
Брестская,Брест - Ленинский,Брест,"ул. л-та Рябцева, 110, КУП «Брестский городской ремонтно-строительный трест»",10,01-010-0010,1107,974,973,336,6,631,22,10,441,443,10,47,,,,
Брестская,Брест - Ленинский,Брест,"ул. Дубровская, 14, ГУО «Гимназия № 5 г. Бреста»",11,01-010-0011,1995,1807,1807,691,13,1103,26,19,984,682,15,81,,,,
Брестская,Брест - Ленинский,Брест,"пр. Машерова, 33, ГУО «Средняя школа № 13 г. Бреста имени В.И.Хована»",15,01-010-0015,1012,914,911,303,26,581,21,9,393,410,21,52,4,1080,1,168
Брестская,Брест - Ленинский,Брест,"ул. Ленина, 70, ГУО «Средняя школа № 18 г. Бреста»",17,01-010-0017,1442,1190,1190,235,113,842,6,5,608,500,7,64,0,1500,0,310
Брестская,Брест - Ленинский,Брест,"ул. Карбышева, 81, ГУО «Средняя школа № 20 г. Бреста имени Героя Советского Союза Д.М.Карбышева»",20,01-010-0020,837,624,624,139,16,469,16,11,199,336,7,46,9,,,
Брестская,Брест - Ленинский,Брест,"ул. Карбышева, 81, ГУО «Средняя школа № 20 г. Бреста имени Героя Советского Союза Д.М.Карбышева»",21,01-010-0021,1421,1116,1116,240,94,782,9,11,597,450,14,34,1,1370,,254
Брестская,Брест - Ленинский,Брест,"ул. Гоголя, 63, общежитие № 1 Брестского колледжа – филиала учреждения образования «Белорусский государственный университет транспорта»",22,01-010-0022,1564,1256,1256,330,89,837,17,25,622,518,21,49,4,1580,1,323
Брестская,Брест - Ленинский,Брест,"ул. Карбышева, 31, Ресурсный центр УО «Брестский государственный торгово-технологический колледж»",23,01-010-0023,1673,1395,1394,490,50,854,42,23,776,458,16,79,,,,
Брестская,Брест - Ленинский,Брест,"ул. Березовская, 7, ГУО «Ясли-сад № 79 г. Бреста»",25,01-010-0025,2217,1898,1898,320,40,1538,36,24,548,1107,36,130,17,2310,0,412
Брестская,Брест - Ленинский,Брест,"ул. Орджоникидзе, 14, ГУ «Брестская областная филармония»",27,01-010-0027,1407,1361,1360,409,59,892,19,9,761,465,10,90,6,1540,0,179
Брестская,Брест - Ленинский,Брест,"ул. Кижеватова, 9/1, Дом культуры транспортного РУП «Брестское отделение Белорусской железной дороги»",28,01-010-0028,1953,1659,1659,232,77,1350,33,35,374,764,29,424,,,,
Брестская,Брест - Ленинский,Брест,"ул. Красногвардейская, 92, филиал РУП «Брестэнерго» Брестские электрические сети",30,01-010-0030,1704,1339,1339,258,24,1057,18,15,778,417,13,98,,,,
Брестская,Брест - Ленинский,Брест,"ул. Красногвардейская, 125, УП «Брестводоканал»",31,01-010-0031,2017,1906,1906,676,23,1207,47,56,1012,610,65,116,,,,
Брестская,Брест - Ленинский,Брест,"ул. Красногвардейская, 59, ГУО «Средняя школа № 16 г. Бреста»",32,01-010-0032,1885,1870,1870,655,98,1117,47,33,920,711,37,107,15,1890,3,2
Брестская,Брест - Ленинский,Брест,"ул. Строительная, 21, ГУО « Средняя школа № 32 г. Бреста»",34,01-010-0034,2543,2048,2048,369,11,1668,46,18,535,1223,62,164,,,,
Брестская,Брест - Ленинский,Брест,"ул. Строительная, 21, ГУО «Средняя школа № 32 г. Бреста»",35,01-010-0035,2020,1939,1938,291,49,1598,26,24,608,1111,38,115,16,2060,1,120
Брестская,Брест - Ленинский,Брест,"ул. Смирнова, 63, ГУО «Гимназия № 3 г. Бреста»",36,01-010-0036,2065,1608,1608,300,51,1257,13,15,882,682,8,8,,,,
Брестская,Брест - Ленинский,Брест,"ул. Школьная, 8, УЗ «Брестская городская больница № 2»",37,01-010-0037,1509,1280,1280,403,41,836,29,23,524,543,24,137,,,,
Брестская,Брест - Ленинский,Брест,"ул. Дубровская, 14, ГУО «Гимназия № 5 г. Бреста»",40,01-010-0040,1820,1688,1688,640,19,1029,23,24,1008,557,28,48,,,,
Брестская,Брест - Ленинский,Брест,"ул. Старозадворская, 4, торговый центр «Вам Рад»",42,01-010-0042,1570,1279,1279,348,21,901,13,24,629,598,6,9,,1600,,321
Брестская,Брест - Ленинский,Брест,"ул. Наганова, 3, ГУО «Средняя школа № 9 г. Бреста»",44,01-010-0044,1370,1066,1065,319,21,725,21,11,472,473,27,56,5,1330,1,264
Брестская,Брест - Московский,Брест," административное здание, б-р Шевченко,4",3,01-011-0003,1512,1482,1482,547,25,910,22,47,1150,127,21,101,14,1515,1,32
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 15 г. Бреста», пр-т Машерова, 55",5,01-011-0005,979,944,944,363,58,523,15,8,708,143,21,43,6,982,1,37
Брестская,Брест - Московский,Брест," учреждение образования далее – УО «Брестский государственный колледж связи», ул. Кирова, 82",7,01-011-0007,2450,2139,2139,435,17,1687,22,19,841,1026,28,203,,,,
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 19 г. Бреста», ул. Сикорского, 86",8,01-011-0008,1570,1489,1486,503,46,937,32,16,1058,147,42,191,,,,
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 3 г. Бреста», б-р Космонавтов, 60",10,01-011-0010,2195,1858,1856,714,45,1097,44,19,1096,500,26,171,,,,
Брестская,Брест - Московский,Брест," Общежитие открытого акционерного общества далее – ОАО «Ковры Бреста», ул. Высокая, 22/1",15,01-011-0015,2543,2046,2044,425,58,1561,47,27,646,1113,42,158,11,2588,,542
Брестская,Брест - Московский,Брест," общежитие № 4 ОАО «Стройтрест» № 8, ул. Пионерская, 46/1",17,01-011-0017,1445,1223,1223,339,30,854,18,10,856,136,12,191,,,,
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 22 г. Бреста», ул. Янки Купалы, 20",20,01-011-0020,1678,1596,1595,593,96,906,14,17,1196,198,16,154,,,,
Брестская,Брест - Московский,Брест," УО «Брестский государственный профессиональный лицей лёгкой промышленности», ул. Янки Купалы, 52",22,01-011-0022,2815,2701,2701,1012,22,1667,52,31,1420,1203,43,-48,,,,
Брестская,Брест - Московский,Брест," ГУО «Гимназия № 2 г. Бреста», ул. Московская, 332/5",30,01-011-0030,2126,1881,1880,662,67,1151,29,22,1412,169,29,211,8,2199,,318
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 23 г. Бреста», ул. Орловская, 16",32,01-011-0032,1920,1701,1701,548,31,1122,40,12,935,582,43,89,,,,
Брестская,Брест - Московский,Брест," УО «Брестский государственный технический университет» учебный корпус 2, ул. Московская, 267",35,01-011-0035,2374,2261,2256,825,56,1375,50,49,1692,316,65,74,10,2283,,22
Брестская,Брест - Московский,Брест," общежитие УО «Брестский государственный технический университет», первый этаж, ул. Московская, 267 Д/2",36,01-011-0036,1445,1329,1329,475,0,854,20,15,831,376,24,58,5,1555,0,226
Брестская,Брест - Московский,Брест," ГУО «Гимназия № 4 г. Бреста», ул. Московская, 338/4",37,01-011-0037,1509,1280,1280,403,41,836,29,23,524,543,24,137,,,,
Брестская,Брест - Московский,Брест," ГУО «Гимназия № 4 г. Бреста», ул. Московская, 338/4",38,01-011-0038,1211,1042,1042,262,39,741,21,17,380,510,18,88,8,1176,1,133
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 26 г.Бреста», ул. Ленинградская, 41",41,01-011-0041,1500,1487,1487,485,32,970,28,17,793,529,28,79,13,1528,0,41
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 26 г.Бреста», ул. Ленинградская, 41",42,01-011-0042,1780,1731,1731,596,17,1118,38,20,959,612,30,66,6,1786,3,52
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 28 г. Бреста», ул. Орловская, 48",46,01-011-0046,1811,1662,1662,664,31,967,24,17,1247,231,14,129,,,,
Брестская,Брест - Московский,Брест," ГУО «Лицей № 1 имени А.С.Пушкина г. Бреста», Орловская, 63",47,01-011-0047,2145,2145,2145,835,58,1252,48,33,1136,783,34,92,19,2516,1,369
Брестская,Брест - Московский,Брест," ГУО «Учебно-педагогический комплекс ясли-сад–начальная школа № 6 г. Бреста» ул. Лактионова, 22",48,01-011-0048,2194,1987,1987,510,4,1473,37,25,1329,541,25,30,,,,
Брестская,Брест - Московский,Брест," ГУО «Учебно-педагогический комплекс ясли-сад–начальная школа № 6 г. Бреста» ул. Лактионова, 22",49,01-011-0049,1976,1936,1919,520,11,1405,28,19,661,1055,35,121,17,1950,,14
Брестская,Брест - Московский,Брест," ГУО «Учебно-педагогический комплекс ясли-сад – начальная школа № 11 г. Бреста», ул. Октябрьской революции, 47",58,01-011-0058,2008,1646,1628,783,0,845,17,32,1024,920,15,270,7,2105,3,456
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 25 г. Бреста», ул. Волгоградская, 7",60,01-011-0060,1485,1413,1413,486,11,916,25,31,971,214,36,122,14,1486,0,73
Брестская,Брест - Московский,Брест," общежитие № 12 КУП «ЖРЭУ г.Бреста», Суворова 112",61,01-011-0061,2310,1681,1681,514,13,1154,27,16,574,869,35,144,16,2251,0,570
Брестская,Брест - Московский,Брест," общежитие ОАО «Брестмаш», ул. Суворова, 104",62,01-011-0062,2118,1895,1895,646,13,1236,30,12,1192,505,23,114,19,2126,3,228
Брестская,Брест - Московский,Брест," общежитие № 14 КУП «ЖРЭУ г. Бреста», Суворова, 108",63,01-011-0063,2977,2750,2735,965,19,1751,47,24,1387,1028,51,181,17,2890,1,139
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 30 имени Д.Б. Гвишиани г. Бреста», ул. Волгоградская, 42",65,01-011-0065,1511,1290,1256,503,21,732,21,24,939,162,12,98,,,,
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 30 имени Д.Б. Гвишиани г. Бреста», ул. Волгоградская, 42",66,01-011-0066,2525,2107,2104,774,15,1315,41,22,1432,498,41,57,13,2657,4,546
Брестская,Брест - Московский,Брест," ЖЭС № 11, ул. Луцкая, 10",70,01-011-0070,1821,1601,1596,786,23,787,32,17,1251,86,98,112,,,,
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 1 г. Бреста», ул. Колесника, 6",72,01-011-0072,2220,2055,2055,526,5,1524,25,17,1434,402,27,150,,,,
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 1 г. Бреста», ул. Колесника, 6",73,01-011-0073,1842,1663,1661,657,2,1002,33,35,1324,71,17,181,,,,
Брестская,Брест - Московский,Брест," ГУО «Ясли–сад № 73 г. Бреста», Колесника, 13.",74,01-011-0074,2181,2059,2059,661,36,1362,24,21,1545,267,32,170,,,,
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 11 Бреста», ул. Сальникова, 33",75,01-011-0075,2456,2413,2409,887,16,1506,38,19,1595,473,40,179,65,2466,2,51
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 11 Бреста», ул. Сальникова, 33",76,01-011-0076,2403,2343,2291,828,2,1461,34,21,1422,714,36,64,,,,
Брестская,Брест - Московский,Брест," ГУДО «Ясли – сад № 7 г. Бреста», ул. Генерала Благовещенского, 6",77,01-011-0077,2325,2168,2168,798,0,1370,33,17,1626,332,40,108,18,2329,0,161
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 14 имени Е.М.Фомина г. Бреста», ул. Рябиновая, 10",78,01-011-0078,2732,2482,2482,761,12,1705,48,20,1568,751,22,51,22,2751,4,269
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 14 имени Е.М. Фомина г. Бреста»,  ул. Рябиновая, 10",79,01-011-0079,2420,2152,2152,756,15,1380,49,45,1342,571,25,107,11,2420,1,268
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 37 г. Бреста», ул. Рябиновая, 12",80,01-011-0080,2715,2440,2437,820,7,1610,25,21,1628,672,29,50,12,2847,3,404
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 37 г. Бреста», ул. Рябиновая, 12",81,01-011-0081,2999,2999,2998,927,5,2066,132,81,2006,639,48,92,,,,
Брестская,Брест - Московский,Брест," ГУО «Учебно-педагогический комплекс ясли-сад – начальная школа № 10 г. Бреста», ул. Защитников Отечества, 1 «А»",87,01-011-0087,2398,1942,1940,303,5,1631,43,22,499,1155,34,164,22,2427,1,484
Брестская,Брест - Московский,Брест," совместное общество с ограниченной ответственностью «Брестсталь», ул. Учительская, 41/1",88,01-011-0088,2841,2686,2686,956,90,1640,32,24,1795,646,38,151,,,,
Брестская,Брест - Московский,Брест," ГУО «Средняя школа № 4 г. Бреста», ул. Волынская, 26",89,01-011-0089,2150,1991,1991,708,38,1245,39,26,1494,149,62,201,20,2157,5,161
Брестская,Барановичи,Барановичи,"ул. Глинки, 14; Государственное учреждение образования «Средняя школа №12 г.Барановичи»",4,01-047-0004,1704,1442,1442,647,24,771,19,33,1141,159,13,32,45,1800,0,358
Брестская,Барановичи,Барановичи,"пр.Советский, 33; Государственное учреждение образования «Лицей №1 г.Барановичи»",6,01-047-0006,1947,1791,1791,720,27,1044,59,81,1416,108,33,94,,,,
Брестская,Барановичи,Барановичи,"ул. Жукова, 12/6; Государственное учреждение образования «Средняя школа №19 г.Барановичи»",9,01-047-0009,1430,1230,1230,615,7,608,25,23,998,45,26,113,,,,
Брестская,Барановичи,Барановичи,"б.Бородинского, 7/2; Государственное учреждение образования «Средняя школа №18 г.Барановичи»",12,01-047-0012,1997,1691,1691,764,17,910,19,36,1340,69,21,179,27,2000,2,307
Брестская,Барановичи,Барановичи,"ул. Фроленкова, 52г; Административное здание республиканского унитарного предприятия «Барановичское отделение Белорусской железной дороги»",17,01-047-0017,2112,1774,1773,674,38,1061,18,34,1400,70,17,234,,,,
Брестская,Барановичи,Барановичи,"ул. Фабричная, 14-а; Государственное учреждение образования «Гимназия №3 г.Барановичи»",19,01-047-0019,1922,1615,1615,741,30,844,28,21,1275,65,31,195,,,,
Брестская,Барановичи,Барановичи,"ул. Парковая, 45; Государственное учреждение образования «Гимназия №1 г.Барановичи»",22,01-047-0022,1620,1555,1555,630,12,913,31,47,1260,74,31,97,15,1700,0,145
Брестская,Барановичи,Барановичи,"ул. Парковая, 45; Государственное учреждение образования «Гимназия №1 г.Барановичи»",23,01-047-0023,1625,1542,1542,639,13,890,31,46,1248,67,31,0,15,1700,0,158
Брестская,Барановичи,Барановичи,"ул. Энтузиастов, 58; Государственное учреждение образования «Средняя школа №20 г.Барановичи»",26,01-047-0026,1900,1623,1623,769,22,832,9,47,1282,65,23,197,,,,
Брестская,Барановичи,Барановичи,"ул.Грунтовая,47; Административное здание открытого акционерного общества «Грузовой автомобильный парк №4»",28,01-047-0028,2990,2871,2870,1255,124,1491,42,26,2239,143,51,340,29,3000,4,125
Брестская,Барановичи,Барановичи,"ул.Базисная, 7; Государственное учреждение образования «Средняя школа №13 г.Барановичи»",30,01-047-0030,2598,2301,2300,896,92,1312,58,16,1633,414,29,123,27,2700,1,399
Брестская,Барановичи,Барановичи,"ул. З.Космодемьянской,45; Государственное учреждение образования «Гимназия №2 г.Барановичи»",34,01-047-0034,2592,1970,1970,783,25,1162,19,39,1556,276,21,43,16,,0,730
Брестская,Барановичи,Барановичи,"ул. Брестская, 42; Государственное учреждение образования «Средняя школа №9 имени Героя Советского Союза Г.Н. Холостякова»",39,01-047-0039,1491,1283,1280,612,21,647,17,8,1021,65,13,156,,,,
Брестская,Барановичи,Барановичи,"ул.Пионерская,31; Общежитие открытого акционерного общества «Строительный трест №25»",42,01-047-0042,1560,1497,1497,629,63,805,76,81,877,153,89,221,,,,
Брестская,Барановичи,Барановичи,"ул.50 лет ВЛКСМ, 40; Государственное учреждение образования «Средняя школа №21 г.Барановичи»",43,01-047-0043,2720,2357,2357,1048,23,1286,23,50,1865,177,20,222,,,,
Брестская,Барановичи,Барановичи,"ул. Советская, 134; Общежитие учреждения образования «Барановичский государственный колледж легкой промышленности им.В.Е.Чернышева»",45,01-047-0045,1126,1001,1001,477,17,507,10,17,790,68,16,99,1,1200,0,199
Брестская,Барановичи,Барановичи,"ул. Куйбышева, 55; Государственное учебно-методическое учреждение «Учебно-методический кабинет»",46,01-047-0046,1670,1436,1436,769,40,627,14,26,1136,59,14,187,,,,
Брестская,Барановичи,Барановичи,"ул. Коммунистическая, 8; Государственное учреждение образования «Средняя школа №16 г.Барановичи»",47,01-047-0047,1986,1820,1820,806,30,984,18,36,1438,75,18,235,,,,
Брестская,Барановичи,Барановичи,"ул. Гагарина, 62; Зал заседаний открытого акционерного общества «Барановичский автоагрегатный завод»",48,01-047-0048,1442,1229,1227,468,26,733,9,5,950,110,9,144,,,,
Брестская,Барановичи,Барановичи,"ул. 50 лет БССР, 51; Административный корпус открытого акционерного общества «Барановичский молочный комбинат»",54,01-047-0054,2880,2561,2561,1123,6,1432,26,52,2015,282,27,149,10,3000,0,439
Брестская,Барановичи,Барановичи,"ул. Тексер, 12; Государственное учреждение образования «Гимназия №5 г.Барановичи»",56,01-047-0056,2755,2464,2452,1156,3,1293,25,49,1962,98,23,227,68,3000,3,533
Брестская,Барановичи,Барановичи,"ул. Тексер, 12; Государственное учреждение образования «Гимназия №5 г.Барановичи»",57,01-047-0057,1810,1619,1614,725,0,889,15,35,1276,181,12,80,15,2000,1,380
Брестская,Барановичи,Барановичи,"ул. Колхозная, 64; Государственное учреждение образования «Средняя школа №3 г.Барановичи»",60,01-047-0060,2155,1963,1955,883,31,1041,14,14,1563,233,13,104,14,2300,0,337
Брестская,Барановичи,Барановичи,"ул. Парковая,62; Учебный корпус №3 учреждения образования «Барановичский государственный университет»",62,01-047-0062,2623,2531,2531,994,14,1523,21,36,1957,354,17,139,7,2700,0,169
Брестская,Березовский,г. Береза,"г. Берёза, торгово-общественный центр ул. Степана Любарского, 32.",4,01-049-0004,1950,1911,1911,586,10,1315,38,133,1438,192,19,82,9,1950,7,32
Брестская,Березовский,г. Береза,"г. Берёза, ГУК «Детско-юношеский спортивно-эстетический центр» ул. Владимира Ленина, 104а-Красные казармы.",6,01-049-0006,2030,1888,1887,291,104,1492,13,19,1469,300,8,78,,,,
Брестская,Березовский,г. Береза,"г. Берёза, актовый зал общежития ОАО «Березовский мясоконсервный комбинат» ул. Советская, 62.",8,01-049-0008,1496,1311,1311,470,12,829,19,10,809,382,18,57,16,1535,2,222
Брестская,Березовский,г. Белоозерск,"г. Белоозёрск, ГУК «Белоозерский Дом культуры» ул. Ленина, 34.",13,01-049-0013,1885,1661,1661,212,205,1244,38,21,594,865,32,100,11,1770,2,107
Брестская,Березовский,г. Белоозерск,"г. Белоозёрск, ГУО «Гимназия г. Белоозерска» ул. Строителей, 20.",14,01-049-0014,2066,1788,1788,251,43,1494,35,16,899,717,29,84,8,1910,2,120
Брестская,Березовский,г. Белоозерск,"г. Белоозёрск, ГУО «Средняя школа № 3 г. Белоозерска» пр. Мира, 7.",15,01-049-0015,2100,2026,2025,243,44,1738,43,25,563,1176,44,174,,,,
Брестская,Березовский,аг. Пески,"аг. Пески, филиал № 10 Песковский сельский Дом культуры ГУК «Березовская районная клубная система» ул. Советская, 5.",30,01-049-0030,1027,1009,1009,239,149,621,23,10,442,421,20,69,24,1070,0,61
Брестская,Ганцевичский,г. Ганцевичи,"г. Ганцевичи, ул. Октябрьская, 50, здание учреждения образования «Ганцевичский государственный профессиональный лицей сельскохозяйственного производства».",1,01-050-0001,2533,2409,2409,1059,55,1295,18,28,2212,102,22,27,,,,
Брестская,Ганцевичский,г. Ганцевичи,"г. Ганцевичи, ул. Октябрьская, 4, здание городского Дома культуры государственного учреждения культуры «Ганцевичская районная централизованная клубная система».",4,01-050-0004,2097,2032,2032,871,106,1055,5,4,1896,114,6,5,2,2127,0,95
Брестская,Ганцевичский,аг. Мальковичи,"аг. Мальковичи, ул. Советская, 83, здание государственного учреждения образования «Мальковичская средняя школа» Ганцевичского района.",11,01-050-0011,835,720,720,351,85,284,14,18,495,172,11,10,,,,
Брестская,Дрогичинский,г. Дрогичин,"Дрогичин, улица Ленина, дом 165, помещение государственного учреждения образования «Гимназия г.Дрогичина»",3,01-051-0003,1571,1448,1448,488,161,799,14,47,1175,100,28,84,,,,
Брестская,Жабинковский,г. Жабинка,"Жабинка, улица Калинина, дом 1, здание клуба открытого акционерного общества далее - ОАО «Жабинковский сахарный завод».",7,01-052-0007,1113,1001,1001,406,45,550,5,2,880,72,4,29,9,1160,,159
Брестская,Ивановский,а.г. Мотоль,"агрогородок Мотоль, площадь Ленина, дом 1А, здание  сельского Дома культуры агрогородка Мотоль",21,01-053-0021,1155,1099,1099,276,35,788,20,18,504,443,18,96,,,,
Брестская,Ивацевичский,г. Ивацевичи,"г. Ивацевичи, ул. Заводская, 4, актовый зал административного здания ОАО «Ивацевичдрев», т.3-52-94",1,01-054-0001,2515,2129,2129,851,49,1229,89,39,869,879,57,381,,,,
Брестская,Ивацевичский,г. Ивацевичи,"г. Ивацевичи, ул. Механизаторов, 7, здание УО «Ивацевичский государственный профессиональный лицей сельскохозяйственного производства», т.9-69-10",5,01-054-0005,2989,2838,2838,895,13,1930,54,13,1500,1056,20,195,,,,
Брестская,Ивацевичский,г.п. Телеханы,"г. п. Телеханы, ул. Ленина, 17, здание Центра культуры и досуга, т. 31-4-44",9,01-054-0009,1600,1488,1488,631,61,790,28,18,877,479,23,54,9,1620,,132
Брестская,Ивацевичский,г.п. Телеханы,"г.п. Телеханы, ул. 1 Мая, 2, здание ГУО «Телеханская средняя школа», т. 31-2-49",10,01-054-0010,1440,1309,1309,405,87,817,23,20,914,256,22,53,21,1510,,1
Брестская,Ивацевичский,д. Заполье,"д. Заполье, ул. Школьная, 32, здание ГУО «Заполянский детский сад -средняя школа», т. 26-2-39",26,01-054-0026,543,492,492,129,210,153,6,10,330,111,13,22,,,,
Брестская,Ивацевичский,д. Яглевичи,"д. Яглевичи, ул. Центральная, 44А, административное здание Яглевичского сельисполкома, т. 45-3-03, 45-2-35",43,01-054-0043,1176,1083,1083,470,17,596,12,9,647,366,9,37,3,1230,0,147
Брестская,Каменецкий,г. Каменец,"г. Каменец, ул. Брестская, 60/1, здание государственного учреждения образования «Средняя школа № 2 г. Каменца».",2,01-055-0002,1766,1320,1320,371,26,923,20,17,616,575,35,57,,,,
Брестская,Каменецкий,г. Каменец,"г. Каменец, ул. Брестская, 85/1, здание государственного учреждения образования «Средняя школа № 2 г. Каменца» здание начальных классов.",3,01-055-0003,1699,1474,1474,353,16,1105,19,24,536,745,28,122,,,,
Брестская,Каменецкий,г. Каменец,"г. Каменец, ул. 8 Марта, 19, здание отдела строительно-монтажных работ и энергетики открытого акционерного общества «Каменецкий райагросервис».",4,01-055-0004,947,874,874,229,24,621,26,12,455,226,27,128,,,,
Брестская,Каменецкий,дер. Ратайчицы,"дер. Ратайчицы, ул. С. Вирко, 61, здание Ратайчицкого сельского клуба.",10,01-055-0010,683,610,610,241,161,208,14,14,389,153,4,36,,,,
Брестская,Каменецкий,дер. Волчин,"дер. Волчин, ул. Ленина, 34, здание Волчинского сельского исполнительного комитета.",17,01-055-0017,388,358,368,185,17,166,7,4,194,116,15,32,,,,
Брестская,Каменецкий,г. Высокое,"г. Высокое, ул. Ленина, 83, здание государственного учреждения образования «Высоковская средняя школа».",32,01-055-0032,1317,1106,1106,211,31,864,27,16,380,553,29,101,,,,
Брестская,Кобринский,г. Кобрин,"Кобрин, улица Дзержинского, 81, здание мастерских учреждения образования далее – УО «Кобринский государственный профессиональный лицей сферы обслуживания».",5,01-056-0005,2580,2471,2470,873,18,1579,46,22,1351,905,34,91,21,2685,1,214
Брестская,Кобринский,г. Кобрин,"Кобрин, улица Дзержинского, 81, здание УО «Кобринский государственный профессиональный лицей сферы обслуживания».",7,01-056-0007,1564,1494,1492,524,43,925,19,13,933,439,26,48,14,1611,2,115
Брестская,Кобринский,г. Кобрин,"Кобрин, улица Советская, 137, здание филиала «Стройтрест №33» открытого акционерного общества «Строительный трест № 8».",10,01-056-0010,1150,1116,1116,482,63,571,4,9,1071,24,3,5,,,,
Брестская,Кобринский,г. Кобрин,"Кобрин, улица Пушкина, 4, здание ГУО «Гимназия г. Кобрина».",13,01-056-0013,1789,1737,1737,731,53,953,17,29,1574,71,15,31,,,,
Брестская,Кобринский,г. Кобрин,"Кобрин, улица Пролетарская, 91, здание ГУО «Средняя школа № 3 г. Кобрина», первый этаж.",17,01-056-0017,2269,2087,2087,701,220,1166,53,23,1523,287,31,102,68,2325,0,238
Брестская,Кобринский,г. Кобрин,"Кобрин, улица Ленина, 71, здание ГУО «Средняя школа № 6 г. Кобрина».",19,01-056-0019,2251,1988,1987,427,76,1484,39,33,684,1049,49,133,,,,
Брестская,Кобринский,г. Кобрин,"Кобрин, улица Ленина, 167, здание ГУО «Детский сад-средняя школа № 4 г. Кобрина».",20,01-056-0020,2824,2340,2340,433,552,1355,52,33,1500,654,50,43,8,2309,1,568
Брестская,Кобринский,аг. Батчи,"агрогородок Батчи, помещение Батчинского Дома культуры государственного учреждения культуры далее – ГУК «Кобринская районная клубная система»",21,01-056-0021,693,517,517,123,69,325,8,7,240,222,15,21,4,714,1,196
Брестская,Кобринский,д. Еремичи.,"деревня Еремичи, административное здание филиала «Передвижная механизированная колонна № 52» государственного унитарного производственного предприятия «Брестводстрой».",24,01-056-0024,461,422,422,182,14,226,9,8,241,121,6,37,,,,
Брестская,Кобринский,дер. Рыбна,"деревня Рыбна, здание ГУО «Киселевецкий детский сад-средняя школа».",43,01-056-0043,554,493,493,157,63,273,6,8,336,99,6,38,,,,
Брестская,Кобринский,аг. Остромичи,"агрогородок Остромичи, помещение Остромичского центра культуры и досуга ГУК «Кобринская районная клубная система».",48,01-056-0048,976,938,938,314,89,535,18,19,503,342,13,34,9,958,0,20
Брестская,Лунинецкий,г. Лунинец,"Лунинец, улица Макаренко, дом 3, здание государственного учреждения образования «Средняя школа № 3 г.Лунинца».",2,01-057-0002,1921,1789,1789,576,47,1166,5,12,1578,170,3,15,6,2000,0,211
Брестская,Лунинецкий,аг. Большие Чучевичи.,"агрогородок Большие Чучевичи, улица Советская, дом 6, здание Большечучевичского сельского Дома культуры государственного учреждения культуры «Централизованная клубная система Лунинецкого района».",25,01-057-0025,1423,1205,1205,375,63,767,19,23,785,293,14,71,,,,
